ident,time_appear,time_disappear,alt_min_ft,alt_max_ft,label
ASA809,19:11:27,19:13:39,11450,15487,Clear
ASH6186,19:13:09,19:14:27,34618,34625,Clear
SKW4901,19:13:48,21:37:31,8600,9700,Blocked
DAL400,19:15:27,19:17:25,36650,36650,Dissipate < 10
UAL1878,19:16:54,19:20:19,27675,31539,Persistent
CAO1017,19:17:44,19:22:49,13200,19250,Clear
EJA225,19:20:07,19:22:45,40725,40725,Clear
RPA3468,19:20:10,19:21:20,32550,32575,Clear
UAL2728,19:20:24,19:23:44,31375,31650,Clear
DAL2699,19:23:29,19:26:17,30680,30700,Persistent
SWA3447,19:23:53,19:26:58,31675,31675,Persistent
UAL2497,19:24:21,19:26:20,36625,36625,Clear
UAL1889,19:25:40,19:28:07,36675,36700,Dissipate < 10
ACA741,19:30:12,19:33:34,33575,33600,Dissipate < 10
EJA742,19:30:31,19:31:04,40700,40700,Clear
DAL2236,19:33:10,19:35:16,34600,34600,Dissipate < 10
EDV4841,19:34:15,19:34:56,30650,30650,Clear
EJA256,19:35:29,19:37:39,34650,34650,Dissipate < 10
SWA2842,19:41:22,19:44:39,21550,27768,Persistent
AAL667,19:43:35,19:45:07,11075,12925,Blocked
DAL2006,19:44:33,19:46:05,12550,15673,Blocked
EDV4814,19:45:06,19:46:22,34600,34600,Clear
EJA188,19:50:14,19:53:11,40650,40675,Clear
WUP996,19:51:06,19:53:23,39650,39657,Clear
N895JH,19:53:30,19:56:30,37669,40950,Clear
UAL1783,19:53:55,19:55:16,38600,38600,Clear
ACA738,19:58:31,19:59:59,38700,38700,Clear
EVA650,19:58:52,20:01:23,15150,18825,Clear
UAL717,19:59:09,20:01:12,36625,36625,Clear
SCX416,20:00:12,20:03:05,37550,37575,Clear
SWA4553,20:01:47,20:03:25,11975,13037,Blocked
AAL1057,20:02:21,20:05:16,31725,31750,Persistent
DAL1113,20:14:01,20:15:10,36625,36625,Clear
ASA15,20:14:20,20:17:21,31650,31650,Persistent
UAL506,20:16:49,20:17:49,11375,12700,Blocked
EDV4931,20:17:03,20:17:51,32630,32650,Blocked
SWA4881,20:18:42,20:20:06,12450,12727,Blocked
SWA2414,20:18:57,20:22:44,35623,35625,Clear
SKW3912,20:23:02,20:23:09,34500,34500,Blocked
SKW5033,20:23:59,20:24:39,10275,10923,Blocked
N746AR,20:24:42,20:28:18,17925,25243,Clear
JIA5358,20:28:35,20:28:47,34525,34525,Blocked
SWA2756,20:29:34,20:30:20,38700,38700,Blocked
EDV5537,20:33:28,20:34:56,8725,10975,Blocked
ASA216,20:34:54,20:35:06,34542,34547,Blocked
DAL494,20:36:42,20:38:31,40700,40700,Clear
ACA1041,20:58:00,20:59:22,35525,35525,Blocked
PAC751,21:03:05,21:06:31,29675,29700,Dissipate > 10
ASA323,21:07:02,21:07:15,25525,25753,Blocked
