ident,section,time_appear,time_disappear,alt_min_ft,alt_max_ft,label,notes
EJA300,1,13:01:57,13:06:15,29550,35575,Blocked,
EAL8269,1,13:05:10,13:12:27,20855,36900,Blocked,
ASA767,1,13:17:53,13:24:32,12538,25425,Blocked,
EJA462,1,13:27:55,13:36:21,46000,46025,Blocked,
SKW5005,1,13:39:11,13:46:37,20513,28900,Blocked,
AAL2252,1,13:47:21,13:56:54,22036,28825,Blocked,
SKW6430,1,13:51:47,13:54:57,12580,16375,Blocked,
AAL1386,1,13:51:49,14:00:47,23975,30925,Clear,
SWA2307,1,13:54:20,14:01:40,39900,39900,Clear,
SKW4939,1,13:56:56,14:04:53,20350,33692,Clear,
SWA2659,1,14:00:35,14:07:33,25300,35958,Clear,
SKW3293,1,14:00:38,14:07:10,34975,35000,Clear,
DAL8850,1,14:03:40,14:11:09,37900,37950,Clear,
SWA3023,1,14:07:52,14:14:53,39975,40000,Clear,
SWA1654,1,14:10:32,14:18:50,24825,37000,Clear,
UAL2431,1,14:10:52,14:21:28,32925,32975,Clear,
SWA374,1,14:12:25,14:20:30,24838,35000,Clear,
SWA2730,1,14:13:57,14:22:05,24600,32950,Clear,
SWA1303,1,14:22:21,14:30:31,24050,38016,Clear,
DAL1287,1,14:24:28,14:24:39,37025,37025,Clear,
DAL1216,1,14:26:16,14:35:48,36975,37075,Clear,
SWA1322,1,14:26:53,14:34:54,23825,32975,Clear,
SWA3151,1,14:31:35,14:35:12,27425,32238,Clear,
N560US,1,14:31:43,14:40:18,40950,40983,Clear,
UAL477,1,14:36:12,14:43:11,24442,31953,Blocked,
DAL2534,1,14:36:37,14:46:49,30900,30974,Clear,
SKW6201,1,14:48:11,14:48:16,33000,33000,Blocked,
UAL654,1,14:49:08,14:56:44,39850,39850,Clear,
N723JM,1,14:49:44,14:55:54,43950,43975,Blocked,
SKW6186,1,14:49:51,15:00:20,32975,33000,Blocked,
N105TM,1,14:51:35,14:54:52,25300,27850,Blocked,
SKW6427,1,14:51:54,15:04:50,36925,38950,Clear,
UAL2177,1,14:52:19,15:01:59,32925,33004,Clear,
DAL2085,1,14:56:52,15:07:30,41000,41000,Clear,
DAL484,1,14:59:56,15:04:03,32950,33025,Blocked,
AAL1981,1,15:01:39,15:09:25,35950,36025,Blocked,
AAL1272,1,15:05:24,15:13:34,32971,33025,Clear,
ATN3325,1,15:05:37,15:15:11,34850,34900,Blocked,
VXP53,1,15:06:38,23:03:07,16586,34000,Blocked,
SKW3745,1,15:08:03,15:10:19,12275,17375,Blocked,
AAL1489,1,15:08:31,15:16:20,21075,31025,Clear,
SKW4951,1,15:08:43,15:17:34,33075,33075,Blocked,
N881RC,1,15:08:56,22:59:20,18813,34025,Blocked,
ENY3625,1,15:13:15,15:20:25,31975,31975,Clear,
AAL1055,1,15:15:29,15:22:41,37950,38050,Dissipate < 10,
SKW6307,1,15:16:32,15:19:43,12825,16375,Blocked,
SKW6325,1,15:16:42,15:20:57,19988,25989,Clear,
AAL1531,1,15:17:48,15:27:14,33000,33050,Blocked,
AAL1451,1,15:17:50,15:25:44,21218,31265,Clear,
UAL790,1,15:19:30,15:30:09,32975,33025,Blocked,
UAL1702,1,15:23:30,15:34:04,33000,33000,Blocked,
WSN5,1,15:24:13,15:34:33,23700,25900,Blocked,
UPS2905,1,15:27:56,15:34:51,38025,38075,Dissipate < 10,
GXA6306,1,15:29:16,15:36:35,16005,28838,Blocked,
AXEL10,1,15:31:21,15:40:53,41050,41075,Blocked,
AAL2858,1,15:33:27,15:41:25,21231,34942,Clear,
UAL1768,1,15:34:34,15:45:18,33025,33025,Blocked,
EJA272,1,15:39:34,15:47:21,29075,37016,Blocked,
AAL3029,1,15:42:24,15:49:38,22098,32425,Blocked,
UAL2600,1,15:43:00,15:51:51,28900,28900,Blocked,
SWA4229,1,15:44:16,15:52:59,40975,41000,Blocked,
AAL2425,1,15:44:57,15:52:50,37975,38025,Persistent,
SWA268,1,15:46:01,15:55:12,39000,39025,Clear,
SWA4338,1,15:46:50,15:54:15,38000,38025,Persistent,
AAL2015,1,15:48:34,15:56:06,21325,31409,Blocked,
UPS2919,1,15:49:49,15:57:37,37900,37950,Blocked,
N968UD,1,15:51:56,15:58:39,47950,47950,Blocked,
AAL621,1,15:55:04,16:03:04,34000,34100,Blocked,
N872MJ,1,15:57:14,16:04:55,42000,42025,Persistent,
SWA1289,1,15:58:42,16:08:10,41000,41000,Clear,
SWA2378,1,16:00:05,16:07:42,39975,40025,Clear,
N59FM,1,16:03:54,16:04:57,8625,8625,Clear,
SWA1714,1,16:03:59,16:11:14,39975,40000,Clear,
LOST03,1,16:04:34,16:13:11,35975,36025,Blocked,
DAL910,1,16:06:45,16:06:51,34975,34975,Blocked,
N7SG,1,16:07:42,16:15:42,46050,46050,Clear,
DAL538,1,16:08:15,16:17:47,35000,37025,Blocked,
SWA1041,1,16:08:41,16:16:43,24550,32088,Blocked,
UAL1730,1,16:08:55,16:09:00,39000,39000,Blocked,
UAL2746,1,16:10:26,16:20:26,39000,39025,Blocked,
DAL1112,1,16:10:31,16:17:02,40025,41554,Clear,
AAL1242,1,16:10:39,16:18:28,21193,28975,Blocked,
AAL3227,1,16:11:39,16:18:58,35975,36050,Blocked,
SWA3211,1,16:13:16,16:21:15,25144,36600,Blocked,
SWA2250,1,16:15:29,16:23:18,39000,39024,Clear,
AAL1928,1,16:16:02,16:25:48,37025,37100,Blocked,
SWA3051,1,16:16:50,16:25:04,24442,28975,Clear,
SWA680,1,16:19:06,16:27:03,27092,37950,Blocked,
SWA1149,1,16:20:27,16:28:18,24381,35850,Blocked,
AAL1919,1,16:23:22,16:31:08,21100,28289,Clear,
LYM400,1,16:23:47,16:28:25,18270,21810,Blocked,
DAL800,1,16:25:12,16:35:34,30975,31075,Blocked,
N679W,1,16:25:12,16:32:22,18771,26950,Blocked,
AAL2657,1,16:26:23,19:49:58,28850,33925,Clear,
AAL2578,1,16:26:45,16:34:38,21029,26925,Clear,
AAL1014,1,16:27:01,16:28:54,8200,9150,Clear,
DAL2586,1,16:34:41,16:35:48,36025,36038,Blocked,
UAL2075,1,16:35:32,16:42:14,38000,38025,Persistent,
AAL2053,1,16:37:48,16:45:42,21238,29025,Clear,
SWA970,1,16:37:59,16:45:16,38000,38025,Clear,
AAL3202,1,16:39:20,16:48:45,28950,28975,Blocked,
ASA397,1,16:41:25,16:49:43,35000,35025,Blocked,
N60VV,1,16:42:28,16:53:15,39025,39050,Clear,
JBU1101,1,16:43:15,16:51:10,33043,33100,Clear,
ACW2430,1,16:43:51,16:50:56,44000,44075,Clear,
AAL1460,1,16:45:20,16:45:48,34985,35000,Clear,
AAL1798,1,16:47:06,16:54:59,21162,34603,Blocked,
AAL1820,1,16:47:09,19:56:05,34000,35050,Blocked,
DAL482,1,16:49:10,16:55:54,34050,34125,Clear,
AAL2884,1,16:49:22,16:49:37,17420,17425,Clear,
SKW5716,1,16:49:27,16:50:49,8125,9125,Clear,
SWA1570,1,16:50:49,16:57:59,30785,37975,Blocked,
DAL946,1,16:50:51,16:57:18,40075,40075,Clear,
UAL1936,1,16:52:59,16:59:04,39975,40025,Clear,
SKW4680,1,16:53:38,17:02:43,32950,32975,Blocked,
UAL1608,1,16:55:18,17:00:44,38050,38075,Persistent,
JRE830,1,16:57:08,17:05:46,10900,27475,Blocked,
N581TF,1,16:57:10,17:46:44,9988,16875,Blocked,
EJA387,1,16:57:24,17:04:59,43925,43950,Blocked,
AAL2378,1,16:57:44,23:23:05,21200,37106,Blocked,
SKW4971,1,16:59:43,19:14:04,36338,38075,Clear,
CSB529,1,17:00:01,17:08:52,34975,35025,Clear,
AAL2512,1,17:01:04,17:08:26,38050,38075,Persistent,
CYO975,1,17:01:21,20:39:11,25217,38075,Clear,
UAL1311,1,17:03:24,17:09:30,36088,36100,Clear,
SWA2782,1,17:03:55,17:12:02,24813,35050,Clear,
JRE703,1,17:04:09,17:13:01,30138,39993,Blocked,
N333UC,1,17:04:56,17:11:38,39875,39900,Blocked,
EJA767,1,17:06:36,17:11:56,17825,26059,Blocked,
AAL2107,1,17:06:59,17:14:42,22643,31969,Clear,
EJA883,1,17:07:54,17:15:29,30500,39975,Clear,
WSN9,1,17:08:58,17:16:39,19152,20700,Blocked,
UAL496,1,17:13:38,17:19:10,38017,38025,Persistent,
DAL450,1,17:14:37,17:24:00,33025,33100,Blocked,
SKW4916,1,17:17:35,22:43:37,35075,36025,Clear,
N484JM,1,17:18:16,17:28:24,40580,41075,Blocked,
SWA397,1,17:18:49,17:30:49,39000,39025,Blocked,
JBU2010,1,17:20:48,17:28:22,36050,36125,Blocked,
SWA3227,1,17:21:10,17:29:00,23975,29025,Blocked,
SWA4711,1,17:21:49,17:32:08,31025,31050,Blocked,
AAL2535,1,17:22:37,17:29:50,38050,38100,Blocked,
SWA1401,1,17:23:05,17:31:03,23475,31025,Blocked,
N40JD,1,17:25:18,17:34:15,29950,29975,Blocked,
AAL1713,1,17:25:44,17:31:12,21058,27131,Blocked,
N560FP,1,17:26:42,17:34:37,44125,44125,Blocked,
TWY20,1,17:33:16,17:40:03,40975,41000,Blocked,
AAL960,1,17:33:55,17:41:24,22956,29950,Blocked,
JBU300,1,17:35:44,17:43:24,35975,36100,Blocked,
AAL1156,1,17:37:32,17:45:10,24293,34400,Blocked,
UAL279,1,17:38:31,17:45:47,40000,40025,Blocked,
N50VE,1,17:39:43,17:44:41,42100,42100,Blocked,
ASA781,1,17:43:05,17:52:35,37050,37075,Blocked,
UAL2491,1,17:43:40,17:51:34,35075,35096,Blocked,
N572CH,1,17:44:05,17:51:08,17873,24925,Blocked,
N622LM,1,17:46:08,17:54:41,44050,44075,Blocked,
AAL2664,1,17:46:26,22:04:34,21200,35150,Blocked,
N960RK,1,17:51:25,17:56:52,17630,22611,Blocked,
AAL677R,1,17:54:26,17:58:50,19964,25070,Blocked,
PAT302,1,17:56:23,20:20:56,35915,40100,Blocked,
SWA3546,1,17:58:46,18:06:27,25691,36475,Blocked,
N928GG,1,17:59:39,18:06:23,42025,42050,Blocked,
SKW3300,1,18:00:34,18:06:11,37975,38000,Blocked,
SKW6357,1,18:00:47,20:25:04,20391,30000,Blocked,
ASA433,1,18:00:58,18:10:15,35025,35025,Blocked,
EJA136,1,18:01:24,18:07:51,19317,27395,Blocked,
UAL1383,1,18:02:30,18:13:59,39025,39050,Blocked,
SWA2380,1,18:04:04,18:11:13,42025,42050,Blocked,
JTL27,1,18:05:26,18:11:58,17773,27675,Blocked,
AAL1024,1,18:06:09,18:12:47,34025,34125,Blocked,
N3905C,1,18:06:22,18:06:30,8083,8200,Blocked,
SKW6208,1,18:08:22,23:02:27,30900,36000,Blocked,
DAL1143,1,18:10:19,18:16:48,39925,40025,Blocked,
ASH6133,1,18:11:17,18:20:25,28925,28950,Blocked,
UAL1990,1,18:12:57,18:18:20,40025,40025,Blocked,
SKW6210,1,18:13:09,22:32:34,31000,36125,Blocked,
SWA3071,1,18:13:52,18:21:16,40025,40075,Blocked,
AAL2431,1,18:14:16,22:44:19,38000,41025,Blocked,
N78SD,1,18:14:16,18:21:06,42125,42150,Blocked,
SWA336,1,18:15:17,18:25:01,37025,39025,Blocked,
UAL1703,1,18:15:51,18:17:07,8075,9125,Blocked,
N637AM,1,18:20:58,20:31:06,18892,34050,Blocked,
