ident,section,time_appear,time_disappear,alt_min_ft,alt_max_ft,label,notes
SWA2087,1,13:00:01,13:02:49,28825,32134,Blocked,
SWA3151,1,13:06:33,13:15:11,18445,32003,Blocked,
SWA760,1,13:19:17,13:29:15,22600,38034,Blocked,
FFT1100,1,13:26:48,13:33:00,22941,31642,Blocked,
SWA680,1,13:31:25,13:39:35,21010,34094,Blocked,
N550WR,1,13:36:07,13:44:30,25243,31281,Blocked,
SKW4939,1,13:42:43,13:52:59,21079,35075,Blocked,
SKW5005,1,13:48:00,13:57:45,20779,28900,Blocked,
AAL2252,1,13:49:39,14:00:25,21282,32975,Clear,
SWA374,1,13:53:29,14:02:27,22970,37831,Clear,
SWA2858,1,13:54:53,14:04:01,22905,38459,Clear,
AAL1386,1,13:57:51,14:07:52,19569,35000,Clear,
SWA477,1,14:00:05,14:10:47,23438,30975,Clear,
SKW6430,1,14:02:44,14:05:45,10950,16426,Clear,
SWA1315,1,14:04:54,14:12:08,41000,41000,Clear,
FFT3660,1,14:10:14,14:18:19,22535,34638,Clear,
SWA1401,1,14:13:03,14:22:44,23770,30975,Clear,
EJA422,1,14:16:53,14:23:24,26560,36500,Clear,
SWA1289,1,14:17:39,14:28:04,39000,39025,Clear,
UAL2431,1,14:18:35,14:29:08,32925,32975,Clear,
SKW3293,1,14:20:10,14:25:01,34975,35000,Clear,
VOI1882,1,14:21:23,14:26:59,20075,29941,Clear,
SWA385,1,14:35:06,14:42:53,41050,41050,Dissipate < 10,
SWA2176,1,14:36:27,14:44:08,40975,41000,Dissipate < 10,
GXA6161,1,14:37:12,14:43:03,37075,37125,Persistent,
SWA3094,1,14:37:20,14:47:03,17838,32720,Blocked,
SKW6201,1,14:40:58,14:41:10,34975,34975,Blocked,
SKW6427,1,14:42:11,14:53:39,35050,35050,Blocked,
SKW6186,1,14:42:53,14:55:30,34970,34975,Blocked,
AAL3089,1,14:47:16,14:54:23,18745,27644,Blocked,
SWA4831,1,14:50:20,14:56:49,25236,34223,Blocked,
SWA1657,1,14:56:54,15:00:26,12013,23917,Blocked,
AAL1981,1,14:59:03,15:06:15,33975,34025,Blocked,
AAL1412,1,14:59:10,15:07:05,33931,34000,Blocked,
N15WE,1,15:01:20,15:12:55,15571,32825,Blocked,
SWA690,1,15:06:11,15:16:07,23239,40327,Clear,
SKW3745,1,15:10:08,15:14:06,11763,19382,Clear,
SWA2659,1,15:11:06,15:18:50,21663,33950,Blocked,
AAL1055,1,15:15:12,15:21:32,35900,36000,Persistent,
LXJ405,1,15:15:52,15:23:05,44000,44025,Blocked,
SKW6307,1,15:16:00,15:23:14,10669,16425,Blocked,
UAL1702,1,15:16:49,15:24:59,34950,34950,Clear,
SWA2782,1,15:17:40,15:27:38,22882,33025,Clear,
DAL306,1,15:18:31,15:27:24,34975,37000,Blocked,
EJA562,1,15:19:24,15:25:11,40975,40975,Blocked,
ATN3325,1,15:19:51,15:29:55,34925,34950,Clear,
N44CP,1,15:21:00,18:01:43,42025,44050,Clear,
SKW6325,1,15:25:35,15:31:32,18125,24903,Clear,
FFT1426,1,15:28:09,15:35:21,36025,36100,Dissipate < 10,
DAL2085,1,15:33:25,15:44:39,36925,36950,Persistent,
SWA3941,1,15:34:19,15:41:16,38000,38025,Persistent,
DAL2534,1,15:36:15,15:47:49,30925,30975,Blocked,
SWA3198,1,15:37:36,15:44:07,38025,38050,Persistent,
SWA4560,1,15:40:37,15:50:16,23030,31000,Clear,
N5451N,1,15:43:46,19:06:15,8050,10675,Blocked,
AAL3029,1,15:48:59,15:56:57,17843,30938,Blocked,
CTF684,1,15:54:00,16:03:55,19500,37189,Clear,
AAL621,1,15:59:58,16:03:59,34025,34050,Blocked,
SWA486,1,16:00:08,16:07:55,38925,38950,Blocked,
SWA2607,1,16:01:28,16:07:25,42000,42000,Blocked,
AAL1534,1,16:03:30,16:10:47,36025,36075,Clear,
AAL3227,1,16:06:30,16:10:18,35925,35973,Blocked,
SWA2378,1,16:07:19,16:15:21,37975,38000,Persistent,
SWA1735,1,16:08:34,16:17:23,19665,33513,Blocked,
